date_utc,distance_km,distance_miles
2026-04-16,369929.519,229863.475
2026-04-17,365763.328,227274.725
2026-04-18,362957.093,225531.012
2026-04-19,361708.907,224755.426
2026-04-20,362037.627,224959.683
2026-04-21,363791.810,226049.681
2026-04-22,366693.347,227852.612
2026-04-23,370400.479,230156.116
2026-04-24,374570.606,232747.312
2026-04-25,378907.718,235442.268
2026-04-26,383187.719,238101.736
2026-04-27,387262.435,240633.647
2026-04-28,391047.484,242985.566
2026-04-29,394500.626,245131.248
2026-04-30,397597.005,247055.249
2026-05-01,400306.595,248738.909
2026-05-02,402577.736,250150.131
2026-05-03,404329.086,251238.369
2026-05-04,405450.675,251935.292
2026-05-05,405813.392,252160.673
2026-05-06,405285.236,251832.492
2026-05-07,403752.194,250879.904
2026-05-08,401141.488,249257.687
2026-05-09,397445.043,246960.824
2026-05-10,392740.918,244037.817
2026-05-11,387209.957,240601.038
2026-05-12,381143.929,236831.785
2026-05-13,374940.133,232976.926
2026-05-14,369076.853,229333.653
2026-05-15,364065.658,226219.842
